Species,Clade,brain_weight,body_weight,diet,percent_fruit,social_system,mating_system,group_size,Locomotion,Main1,mean_Male_Galan,mean_Female_Galan,Superfamily,Family,Genus
Chlorocebus_pygerythrus,Cercopithecini,64.77661444,4060,Frugivore,,Polygyndry,Polygyndry,40.5,T,FFMM,4.28,2.98,Cercopithecoidea,Cercopithecidae,Chlorocebus
Cercopithecus_ascanius,Cercopithecini,63.61533538,4156.746667,Frugivore,60.8,Polygyny,Harem Polygyny,26.29375,AR,MFF,3.69,2.79,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_campbelli,Cercopithecini,58.98195992,3775.91,Frugivore,78,Polygyny,Harem Polygyny,9.625,AR,MFF,4.5,2.7,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_cephus,Cercopithecini,67.9250755,3516.626667,Frugivore,79,Polygyny,Harem Polygyny,10.75,AR,MF,4.09,2.88,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_diana,Cercopithecini,64.86223333,4519.636667,Frugivore,52,Polygyny,Harem Polygyny,20.3,AR,MFF,5.2,3.9,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_lhoesti,Cercopithecini,76,5003.735,Frugivore,,Polygyny,Harem Polygyny,14.2,,,,,Cercopithecoidea,Cercopithecini,Cercopithecus
Cercopithecus_mitis,Cercopithecini,73.95943938,6335.43,Frugivore,54.5,Polygyndry,Harem Polygyny,21.275,AR,MFF,5.85,3.93,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_mona,Cercopithecini,65.69504887,4466.723333,Frugivore,,Polygyny,Harem Polygyny,21.5,AR,MFF,5.067,3,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_neglectus,Cercopithecini,67.5429959,5589.84,Frugivore,77,Polygyny,Harem Polygyny,5,BOTH,MF,7.35,4.13,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_nictitans,Cercopithecini,73.6855,5178.136667,Frugivore,67.1,Polygyny,Harem Polygyny,18.25,AR,MFF,6.67,4.25,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cercopithecus_pogonias,Cercopithecini,63.26794444,3588.09,Frugivore,82.9,Polygyny,Harem Polygyny,14.83333333,AR,MFF,4.25,2.83,Cercopithecoidea,Cercopithecidae,Cercopithecus
Cheirogaleus_major,Lemuriformes,6.119796595,430.34,Omnivore,,Solitary,Spatial Polygyny,5.5,AR,MF,0.5746,0.4433,Lemuroidea,Cheirogaleidae,Cheirogaleus
Cheirogaleus_medius,Lemuriformes,2.912290909,188.88,Omnivore,,Solitary,Monogamy,2,AR,MF,NA,NA,Lemuroidea,Cheirogaleidae,Cheirogaleus
Chiropotes_satanas,Pitheciidae,50.07019857,2955.135,Frugivore,16.2,Polygyndry,Polygyndry,19.5,AR,FFMM,3.1,2.96,Ceboidea,Pitheciidae,Chiropotes
Chlorocebus_aethiops,Cercopithecini,63.92378798,4214.496667,Frugivore,,Polygyndry,Polygyndry,22.56923077,T,FFMM,5.77,3.53,Cercopithecoidea,Cercopithecidae,Chlorocebus
Colobus_angolensis,Colobinae,71.56391154,8807.655,Folivore,14.9,Polygyndry,Harem Polygyny,9,AR,MFF,9.8,7.4,Cercopithecoidea,Cercopithecidae,Colobus
Piliocolobus_badius,Colobinae,65.96776666,8105,Folivore,11,Polygyndry,Polygyndry,29.18,,,,,Cercopithecoidea,Colobinae,Piliocolobus
Colobus_guereza,Colobinae,77.37075498,10052.37667,Folivore,14,Polygyndry,Harem Polygyny,8.6,AR,MFF,9.89,7.9,Cercopithecoidea,Cercopithecidae,Colobus
Colobus_polykomos,Colobinae,76.02049416,9118.541111,Folivore,21.4,Polygyndry,Harem Polygyny,11,AR,MFF,9.9,8.3,Cercopithecoidea,Cercopithecidae,Colobus
