Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
1961,"Corton 1961, Grand Cru, Côte de Beaune, Bouchard Père et Fils",A,Consensus view drink slowly - 7/81. Use with caution - 7/07,
1985,"Morey-St-Denis 1985, Côte de Nuits, Vienot",C,Drink - 2/92,
1988,"Echézeaux 1988, Côte de, Nuits, Domaine Dujac",A,Keep - 5/94 (1st review) Keep - 7/97 (2nd Review) Drink - 5/00. Keep - 7/03. Drink - 7/07,
1988,"Savigny-lès-Beaune les Lavières 1988, Côte de Beaune, Chandon de Briailles",B,Keep - 5/94 (1st review) Keep - 7/97 (2nd review) Release 7/03 (3rd review). Use up - 7/07,
1990,"Corton Bressandes 1990, Grand Cru, Côte de Beaune, Chandon de Briailles",A1,Keep - 11/95. Keep -2/99. Keep - 7/02 (3rd review)  Drink - 9/05,
1990,"Echézeaux Grand Cru 1990, Côte de Nuits, Domaine de la Romanée-Conti",A1,Keep - 11/95 (1st review) Keep 11/98. Keep - 5/03,
1990,"Vosne Romanée 1990, Côte de Nuits, Champy Père et Cie",B,Drink - 2/99 Drink - 7/03,
1993,Gevrey Chambertin Clos Prieur 1993 Domaine Thierry Mortet,B,Drink - 2/99. Drink - 7/03. Drink - 7/10.,
1993,"Savigny Les Beaune Aux Guettes 1993, Dom. Pavelot",B,Drink - 2/99,
1995,"Clos de Vougeot Grand Cru 1995, Domaine Drouhin-Laroze",B,Keep - 2/99(1st Review). Keep - 7/03. Keep - 7/10. Release - 6/16,
1995,Mazy Chambertin 1995  (Domaine Armand Rousseau),B,Keep 2/99 (1st Review). Drink - 7/03 (2nd review). Use - 7/10.,
1995,"Pommard 1er Cru Grand Clos Des Epenots 1995, Dom. de Courcel",B,Keep - 2/99(1st review). Can be released - 7/03. Drink now - 7/10.  Can be used - 6/16.,
1996,"Beaune 1er Cru Montrevenots 1996, Domaine Jean-Marc Boillot",C,Keep - 7/03. Release wfr in 2008 - 6/06. Use up - 7/10,
1996,"Chambolle Musigny 1996, Joseph Drouhin",C,"Release in 2005. Drink - 6/06. Ready, use - 7/10. Use up now - 6/16.",
1996,"Clos de Vougeot 1996, Joseph Drouhin, Côte de Nuits",A,Keep - 7/03. Keep - 6/06 (2nd review). Can bekept or used - 5/10. Keep and review in 2019 - 6/16,
1996,"Corton Clos du Roi 1996, Grand Cru, Domaine Chandon de Briailles",A,Keep - 7/03. Keep - 6/06. Keep or use - 5/10,
1996,Echézeaux Grand Cru (Champy) 1996,B,Keep - 7/03. Keep - 6/06. Use - 5/10. Use - 6/16.,
1996,"Nuits-St-Georges 1er Cru Clos des Forets de St-Georges 1996, Domaine de L'Arlot",B,Keep - 7/03. Keep and review - 6/06. Use - 7/10. Can be used - 6/16,
1996,"Pommard 1er Cru Grand Clos des Epenots 1996, Domaine de Courcel",B,Keep - 7/03 (1st review). Keep - 6/06. Can be used - 7/10. Use - 6/16.,
1996,"Savigny Les Lavières 1996, 1er Cru, Tollot- Beaut",C,Drink - 7/03. Drink up - 6/06 Use - 7/10. Use now - 6/16,
1999,Aloxe Corton 1999 1er Cru Clos du Chapitre,C,Keep and release in 2008 - 6/05. Drink by 2012 - 10/08. Use up - 2/11. Use - 3/14.,
1999,Aloxe-Corton 1er Cru Les Fournières (Domaine Tollot-Beaut) 1999,B,Drink as needed - 6/05. No rush. Release and drink to 2013 - 10/08. Use - 2/11. Use - 3/14.,
1999,"Clos de Vougeot 1999, Grand Cru, Domaine Hudelot-Noellat",A,Keep - 6/05. Keep - 10/08. Keep - 2/11. Keep - 3/14,
1999,"Le Corton Grand Cru 1999, Domaine Bouchard Père et Fils",B,Keep - 6/05. Keep - 10/08. Keep - 2/11. Keep or use - 3/14,
1999,Nuits-Saint-Georges 1er Cru Les Pruliers 1999 (Robert Chevillon),A,Keep - 6/05. Keep or use - 2/11.  Keep and review in 2017 -3/14.,
1999,"Pommard 1er Cru Clos des Epeneaux 1999, Domaine Comte Armand",B,Keep - 6/05. Keep - 10/08. Keep - 2/11. Keep - 3/14.,
1999,"Savigny les Beaune, 1er Cru, Les Lavières 1999 (Domaine Chandon de Briailles)",C,Drink - 6/05. Release and drink - 10/08. Drink - 2/11. Release and drink - 3/14,
1999,Volnay 1er Cru Clos de la Barre 1999 (Louis Jadot),B,Keep - 6/05. Release and drink by 2012 - 10/08. No hurry - release or keep - 2/11.  Use - 3/14.,
1999,"Volnay Caillerets 1er Cru 1999, Ancienne Cuvée Carnot (Dom. Bouchard Père et fils)",B,Keep - 6/05. Keep - 10/08. Keep - 2/11. Keep - 3/14,
1999,"Vosne Romanée 1999 1er Cru Les Malconsorts, Domaine Hudelot-Noellat",A,Keep - 6/05. Keep - 10/08. Keep - 2/11. Use - 3/14,
2002,Beaune Clos des Mouches 2002,B,Keep - 10/08. Keep - 2/11. Keep - 3/14. Use if needed - 5/18,
2002,"Chassagne-Montrachet 1er Cru Clos du Château 2002, Château de la Maltroye",C,Use up - 10/08. Confirmed use - 2/11. Use up - 3/14. Use - 5/18,
2002,Latricières Chambertin Grand Cru 2002 (Domaine Nicolas Potel),A,Keep - 10/08. Keep - 2/11. Keep - 3/14. Use - 2/17. Keep - 5/18,
2002,"Latricières-Chambertin Grand Cru 2002, Drouhin Laroze",A,Keep - 10/08. Keep - 2/11. Keep - 3/14. Use - 2/17. Keep - 5/18,
2002,"Nuits-St-Georges 1er Cru aux Perdrix 2002, Domaine de Perdrix",B,Keep - 10/08. Keep - 2/11. Release - 3/14. Sell - 5/18,
2002,"Nuits-St-Georges 1er Cru Clos des Fôrets Saint Georges 2002, Domaine de L'Arlot",B,Keep - 10/08. Keep - 2/11. Keep - 3/14. Keep - 5/18,
2002,"Nuits-St-Georges 1er Cru Les Boudots 2002, Louis Jadot",B,Keep - 10/08. Keep - 2/11. Use from 2016 - 3/14. Keep - 5/18,
2002,"Vosne Romanée 2002, Domaine Michel Gros",B,Drink up - 10/08. Use - 2/11. Use - 3/14. Can be used - 5/18.,
2002,"Vosne Romanée Les Malconsorts 2002, (Domaine Nicolas Potel)",B,Keep - 10/08. Release - 2/11. Can be used 3/14. Keep - 5/18,
2003,Clos de la Roche Grand Cru 2003 (Domaine David Duband),B,Keep - 10/08. Keep - 10/12. Use - 11/17.,
2003,Clos de Vougeot Grand Cru 2003 (Domaine René Engel),A,Keep - 10/08. Keep - 10/12. Use or keep - 11/17.,
2003,Corton Les Grandes Lolières 2003 (Domaine Bertagna),B,Keep - 10/08. Keep - 10/12.  Use - 11/17,
2003,Corton Pougets Grand Cru 2003 (Louis Jadot),B,Keep - 10/08. Keep or use slowly - 7/14,
2003,Gevrey-Chambertin Clos du Fonteny 2003 (Domaine Bruno Clair),B,Keep - 10/08. Use or sell - 7/14,
2003,Nuits-St-Georges 1er Cru Les Damodes 2003 (Domaine Jean Chauvenet),B,Keep - 10/08,
2003,Nuits-St-Georges 1er Cru Les Saint Georges 2003 (Domaine Thibault Liget-Belair),B,Keep - 10/08. Release and use - 7/14,
2005,Gevrey Chambertin 1er Cru Au Closeau 2005 (Drouhin-Laroze),B,Keep - 1/16,
2005,Gevrey Chambertin Clos Prieur 2005 (Domaine Roy),B,Keep - 1/16,
2005,Morey-St-Denis 1er Cru Les Millandes 2005 (Domaine Pierre Amiot et fils),B,Keep - 1/16,
2005,Nuits-St-Georges 1er Cru Les Vignes Rondes 2005 (Confuron Coteditot),B,Keep - 1/16,
2005,Nuits-St-Georges Clos des Grandes Vignes 2005 (Montille),B,Keep - 1/16,
2005,Nuits-St-Geroges 1er Cru Les Damodes 2005 (Chauvenet),B,Keep - 1/16,
2005,Pommard Les Petits Noizons 2005 (Domaine de la Vougeraie),B,Keep - 1/16,
2005,"Volnay Cailleret 1er Cru 2005, Domaine Nicolas Rossignol",B,Keep - 1/16,
2005,Vosne-Romanée 1er Cru Les Suchots 2005 (Domaine J Confuron Côteditot),B,Keep - 1/16,
2009,Aloxe-Corton 1er Cru Les Fournières 2009 (Domaine Tollot-Beaut),B,Use now - 5/18.,
2009,"Beaune 1er Cru Les Bressandes 2009, Domaine des Croix",B,Keep or use - 5/18,
2009,Beaune Grèves 1er Cru 2009 (Domaine Tollot-Beaut),B,Keep - 5/18.,
2009,Chambolle-Musigny 2009 (Domaine Confuron-Cotetidot),B,Keep - 5/18.,
2009,"Gevrey-Chambertin 1er Cru Les Cazetiers 2009, (Domaine Faiveley)",B,Keep - 5/18,
2009,"Nuits-Saint-Georges Les Damodes 2009, (Domaine Faiveley)",B,Keep - 5/18,
2009,Nuits-St-Georges 1er Cru Clos des Forêts St-Georges 2009 (Domaine de l'Arlot),B,Keep - 5/18,
2009,Nuits-St-Georges 1er Cru Les Pruliers 2009 (Jean Grivot),B,Keep - 5/18,
Burgundy (White),,,,
1985,"Bâtard-Montrachet 1985, Grand Cru, J N Gagnard",A1,Special occasions - 7/04. Use - will not last forever - 6/16.,
1988,"Chevalier-Montrachet 1988, Côte de Beaune, Domaine Michel Niellon",A1,Keep - 4/96 Drink - 2/00. Use if needed - 6/16.,
1989,"Bâtard-Montrachet 1989, Côte de Beaune, Domaine Gagnard-Delagrange",A1,Keep 11/98(2nd Review)  Keep 11/00 Can be used - 6/05. Use - 6/16.,
1990,"Corton-Charlemagne 1990, Grand Cru (Bonneau du Martray)",A1,Keep 1st Review - 11/98. Can be used - 10/07. Use up - 6/16.,
1998,"Pouilly Fuissé Les Brûlés Château Fuissé 1998, JJ Vincent",B,Drink - 03/05. Use up - 5/09.  Use now - 6/16.,
1998,"Puligny-Montrachet 1er Cru Le Clavoillon 1998, Domaine Leflaive",A,Keep and review in 2005 - 5/02. Drink - 5/07. Use up - 5/09. Use up - 6/16.,
1999,Chassagne-Montrachet 1er Cru Les Chaumées 1999,A,Keep and use before 2007 - 5/02. Driknk or keep - 5/07. Use up by 2012 - 5/09. Use up - 6/11,
2000,"Corton-Charlemagne 2000, Grand Cru (Domaine Vincent Girardin)",B,Keep - 10/05. Keep - 5/07. Keep or release - 5/09. Use - 6/11. Use up - 6/16.,
2002,"Rully 1er Cru Margoté 2002, (Domaine Jacqueson)",C,Use up - 5/09. Use - 6/11. Use up - 6/16,
2004,"Chablis Grand Cru Les Clos 2004, (Domaine William Fèvre)",B,Keep and review - 10/08. Use - 2/11,
2004,Chassagne-Montrachet 1er Cru La Grande Montagne 2004 (Domaine Fontaine-Gagnard),B,Drink - 10/08. Can be kept - 6/11. Use - 6/16.,
2004,Chassagne-Montrachet 1er Cru Les Caillerets 2004 (Domaine Fontaine-Gagnard),B,Release in 2010 - 10/08. Use carefully - 6/11. Use - 6/16.,
2004,"Corton Charlemagne Grand Cru 2004, Maison Champy",B,Keep - 10/08. Use - 6/1. Use - 6/16.,
2004,Puligny-Montrachet 1er Cru Hameau de Blagny 2004 (Domaine Etienne Sauzet),B,Keep - 10/08. Keep - 6/11. Drink - 3/13. Use up now - 6/16.,
2004,"Puligny-Montrachet Champ Gain 2004, (Domaine Gagey), Louis Jadot",B,Release in 2010 - 10/08.  Use - 6/11. Use up to 2019 - 6/16.,
2005,"Corton-Charlemagne Grand Cru 2005, Domaine Bonneau de Martray",A,Keep - 5/09. Keep - 6/11. Can be kept 3-5 yrs - 11/14.  Use by 2020 - 6/16.,
2006,"Corton-Charlemagne Grand Cru 2006, Domaine Rapet",B,Keep - 10/12. Keep - 11/14. Use slowly - 6/16,
2006,"Meursault-Charmes 1er Cru 2006, Domaine Henri Germain et fils",B,Use - 10/12. Use - 11/14. Use - 6/16,
2006,"Puligny-Montrachet 1er Cru Les Folatières 2006, Louis Jadot",B,Keep - 12/11. Keep - 10/12. Release and use - 3/14.,
2006,"Puligny-Montrachet 1er Cru Les Referts 2006, Remoissenet Père et fils",B,Use or keep - 10/12. Use - 11/14. Use - 6/16,
2006,Puligny-Montrachet Château de Puligny-Montrachet 2006,B,Use - 10/12. Drink now - 11/14. Use up - 6/16,
2007,Chassagne-Montrachet 1er Cru Morgeot Les Fairendes 2007 (Jean-Marc Pillot),B,Use - 11/14. Use - 6/16,
2007,"Chassagne-Montrachet 1er Cru Morgeot Vigne Blanche 2007, Château de la Maltroye",B,Can be used - 10/12. Use - 11/14. Use - 6/16.,
2007,Meursault 1er Cru Santenots 2007 (Domaine Marquis d'Angerville),A,Keep - 10/12. Can be used - 11/14. Dispose - 6/16,
2007,"Monthélie Blanc 2007, Château de Puligny-Montrachet",B,Use - 10/12. Use up - 11/14. Use up quickly - 6/16,
2007,"Pouilly-Fuissé Les Vieilles Vignes 2007, Château de Fuissé",B,Can be used - 10/12. Use up - 11/14. Use - 6/16,
2007,Puligny-Montrachet 1er Cru La Clavoillon 2007 (Domaine Leflaive),A,Keep - 10/12. Keep and review - 11/14. Dispose - 6/16,
2008,"Chablis 1er Cru Vaillon 2008, Cuvée Guy Moreau (Domaine Christian Moreau Père et fils)",B,Can be used - 10/12. Use - 11/14,
2008,Corton-Charlemagne 2008 Grand Cru (Bonneau du Martray),B,Keep - 10/12. Keep - 11/14. Use - 6/16,
2008,Meursault 1er Cru En Luraule 2008 (Joseph Drouhin),C,Use or keep - 10/12. Use - 11/14. Use up - 6/16,
2008,Puligny-Montrachet Clos de la Garenne 2008 (Domaine du Duc de Magenta) Louis Jadot,B,Drink or keep - 10/12. Can be used - 11/14. Use up - 6/16,
2013,"Meursault 1er Cru Les Charmes 2013, Louis Jadot",B,Keep.  Use from 2018 - 6/16.,
2014,"Bourgogne Blanc ""La Tufera"" 2014 (Domaine Etienne Sauzet)",B,,
2014,Chablis 1er Cru Côte de Léchet 2014 (Domaine des Malandes Marchives),B,,
2014,Chablis 1er Cru Vaillons 2014 (Domaine Moreau-Naudet),B,,
2014,Chassagne-Montrachet 1er Cru Les Champs Gains 2014 (Domaine Michel Niellon),B,,
2014,Chassagne-Montrachet 1er Cru Macherelles 2014 (Domaine François Carillon),B,,
2014,"Chassagne-Montrachet 1er Cru Morgeot 2014, Domaine de Duc de Magenta, Clos de la Chappelle (Louis Jadot)",B,,
2014,Meursault 1er Cru Porusots 2014 (Château de Puligny-Montrachet),B,,
2014,Puligny-Montrachet 1er Cru La Garenne 2014 (Domaine Faiveley),B,,
Champagne (Vintage),,,,
1964,"Krug 1964, Brut,, Magnums, Reims",A1,"Drink slowly, - 2/82",
1982,"Krug 1982, Magnums, Reims",A,Keep until needed - to follow 1964 01/11/90.  Keep - 11/01.,
1985,Pol Roger Cuvée Sir Winston Churchill 1985,A1,Drink - 11/03,
1986,"Louis Roederer 1986, Magnums, Reims",A,Keep until needed 1/93,
1990,Louis Roederer Brut 1990,A,,
1995,Taittinger Comtes de Champagne Blanc de Blancs Brut 1995,A,,
1996,Gosset Grand Millésime Brut 1996,A,,
1996,Louis Roederer Brut 1996,A,,
1996,Louis Roederer Cristal 1996,A,Use or sell - 5/17,
1996,Taittinger Brut Millesime 1996,B,,
1997,Alfred Gratien Brut Millésime 1997,B,,
1998,Pol Roger Brut 1998,B,Drink - 3/12,
1998,Taittinger Comtes de Champagne Blanc de Blancs 1998,A,Can be used - 03/15,
2000,Louis Roederer Brut 2000,A,Keep or use - 7/10,
2002,J Lassalle Blanc de Blancs 2002,B,Use - 2/17,
2002,Legras Présidence Vieilles Vignes Grand Cru Brut 2002,B,,
2002,Veuve Clicquot Reserve Brut 2002,B,,
Champagne (Non Vintage),,,,
N/A,Berrys UKC Champagne Grand Cru (Mailly) NV,B,,
N/A,Bollinger Special Cuvee,B,,
N/A,Louis Roederer Brut Premier NV,B,,
N/A,Louis Roederer Carte Blanche NV,B,,
N/A,Pol Roger Brut Reserve,A,,
Sauternes/Barsac,,,,
1967,"Château Suduiraut 1967, 1er Cru Classé, Sauternes",A,Drink - 7/81,
1990,"Château Sigalas-Rabaud 1990, Ier Cru Classé, Sauternes",A,,
1997,"Château La Tour Blanche 1997, 1er Cru Classé, Sauternes",A,,
1997,"Château Lafaurie Peyraguey 1997, 1er Cru Sauternes",A,Use - 5/08,
1997,"Château Rieussec 1997, 1er Cru Sauternes",A,,
2001,"Château Doisy-Daëne 2001, 2ème Cru, Barsac",B,,
2001,Château La Tour Blanche 2001 Half Bottles,B,,
2001,"Château Lafaurie Peyraguey 2001, 1er Cru Sauternes",B,,
2001,"Château Suduiraut 2001, 1er Cru, Sauternes",A,,
2007,"Château Doisy Védrines 2007 (Halves), 2ème Cru Classé Barsac",B,,
2007,"Château Rieussec 2007, 1er Cru Classé, Sauternes",B,,
2008,Klein Constantia Vin de Constance 2008,B,Use - 2/18,
2009,"Château Rieussec 2009, 1er Cru Classé, Sauternes",B,,
2009,"Château Suduiraut 2009, 1er Cru Classé, Sauternes",B,,
2010,"Château Coutet 2010 (Halves), 1er Cru Classé, Sauternes",B,,
2010,"Château Rieussec 2010 (Halves), 1er Cru Classé Sauternes",B,,
Loire,,,,
2002,Pouilly Fumé Château de Tracy 2002,C,Use - 10/08,
2006,Pouilly Fumé Les Cornets 2006 (Domaine Alain Cailbourdin),B,,
2006,Sancerre 2006 (Domaine Tissier),B,Use - 5/10,
2010,Sancerre Domaine Vacheron 2010,B,,
2010,"Sancerre Nuance 2010, Vincent Pinard",B,Use - 5/17,
2010,"Vouvray Le Mont Sec 2010, Domaine Huet",B,,
2014,Sancerre Le Chêne 2014 (Lucien Crochet),B,,
2015,"Pouilly-Fumé 2015, Domaine Thibault (André Dezat et fils)",B,,
2015,"Sancerre 2015, Cuvée Silex (Domaine Serge Laloue)",B,,
English & Welsh,,,,
2004,Chapel Down Bacchus Lamberhurst Estate Reserve 2004,C,,
2009,Chapel Down Pinot Blanc 2009,C,,
2009,Three Choirs Willow Brook 2009,C,,
2010,Camel Valley Atlantic Dry 2010,C,,
2010,Chapel Down Chardonnay 2010,C,Use - 5/18,
2010,Furleigh Estate Bacchus Fumé 2010,C,,
Alsace,,,,
2001,"Gewürztraminer Cuvée Théo 2001, Domaine Weinbach (Colette Faller et filles)",B,Use - 2/10,
2001,"Riesling Grand Cru Wineck-Schlossberg 2001, Domaine Meyer-Fonné",B,,
2001,"Tokay Pinot Gris Réserve Particulière 2001, Domaine Meyer-Fonné",B,Drink - 2/08,
2007,Domaine Marcel Deiss Riesling 2007,B,Use - 3/14,
2007,Pinot Gris Les Eléments 2007 (Domaine Bott-Geyl),B,,
2007,Riesling Grand Cru Kirchberg 2007 (Domaine Jean Sipp),B,Use - 10/12,
2008,Pinot Gris 2008 (Domaine Rolly Gassmann),B,Can be used - 11/17,
2008,Riesling Grand Cru Saering 2008 (Domaines Schlumberger),B,,
2010,"Gewürztraminer ""Les Princes Abbés"" 2010 (Domaines Schlumberger)",B,Ready - 3/15,
Mosel,,,,
2001,Bernkasteler Badstube Riesling Kabinett 2001 (Dr Thanisch),B,Can be used - 2/07,
2001,"Graacher Himmelreich Riesling Spätlese 2001, JJ Prüm",B,No rush - can be used - 5/08,
2001,"Scharzhofberger Riesling Spätlese 2001, von Hövel",B,Use - 2/11,
2001,"Wehlener Sonnenuhr Riesling Spätlese 2001, JJ Prüm",B,Use or keep - 10/08,
2007,"Bernkasteler Badstube Riesling Kabinett 2007, (JJ Prüm)",B,,
2007,Maximin Grünhäuser Abtsberg Riesling Kabinett 2007 (Von Schubert),B,Keep - 6/16,
2007,Maximin Grünhäuser Abtsberg Riesling Spätlese 2007 (Von Schubert),B,,
2007,Serriger Herrenberg Riesling Spätlese Feinherb 2007 (Weingut Dr Siemens),B,,
2007,Wehlener Sonnenuhr Riesling Spätlese 2007 (JJ Prüm),B,"Can be used, no rush - 11/14",
2010,Wehlener Sonnenuhr Riesling Spätlese 2010 (JJ Prüm),B,,
Rhein,,,,
2001,Forster Jesuitengarten Riesling Kabinett 2001,B,Can be used - 10/05,
2001,Schloss Johannisberger Riesling Spätlese Grünlack 2001,B,Use - 12/09,
2011,"Roxheimer Höllenpfad Riesling Trocken 2011, Weingut Hermann Dönnhoff, Nahe",B,,
Austrian,,,,
2011,"Loibner Steinertal Riesling Smaragd 2011, F X Pichler",B,Can be used - 7/15,
2011,"Steiner Riesling Ried Pfaffenberg Selection 2011 Trocken, Weingut Knoll",B,,
Italian (Red),,,,
1994,"Masseto 1994, Bolgheri (Ornellaia)",B,Keep for 5 yrs - 7/01,
1995,Barolo Claudio Alario 1995,B,Keep 7/01,
1996,"Chianti Classico Riserva, Fonterutoli 1996",B,Drink if needed (but by 2004) 7/01.,
1997,"Avvoltore 1997, Maremme Tuscana",B,Drink 7/01,
1999,Allegrini La Poja 1999,A,,
1999,Brunello di Montalcino Riserva Talenti 1999,B,Keep - 3/09,
1999,"Gavi di Gavi, La Chiara 1999",U,,
2000,"Paleo Le Macchiole 2000, Bolgheri",B,Use - 3/13,
2001,"Flaccianello della Pieve 2001, Fontodi",B,Can be used - 3/13,
2001,Sassicaia Tenuta San Guido 2001,B,Keep - 3/09. Can be use - 3/13,
Spanish,,,,
1991,Pesquera Reserva 1991,B,Drink 7/01,
1999,Bodegas Vega Sicilia Valbuena 1999,A,Keep or use on appropriate occasions - 3/09,
2000,"Bodegas Alión, Ribera del Duero 2000",B,Keep - 2/10,
2000,"Muga Rioja Reserva 2000, Seleccion Especial",B,Drink - 2/10,
2001,"Calvario Rioja 2001, Finca Allende",B,Keep - 2/10,
South African,,,,
2002,"Mont du Toit 2002, Wellington, Western Cape",B,Keep or use - 7/10. Use - 2/18,
2003,"Hamilton Russell Pinot Noir 2003, Walker Bay",B,Keep - 7/10 ,
2003,"Rustenberg Peter Barlow Cabernet Sauvignon 2003, Stellenbosch",B,Keep - 7/10. Use - 2/18,
2008,"Hamilton Russell Chardonnay 2008, Walker Bay",B,Use - 11/13. Use up or dispose - 2/18.,
2012,"Meerlust Chardonnay 2012, Stellenbosch",B,Use - 2/18,
2012,"Rustenberg Five Soldiers Chardonnay 2012, Stellenbosch",B,Use - 2/18.,
2014,"Hamilton Russell Vineyard Chardonnay 2014, Hemel-en-Aarde",B,Can be used - 2/18.,
Australian,,,,
1995,"Lindemans ""Pyrus"" Cabernet Sauvignon 1995",B,Keep 7/01. Use - 2/08.  Use - 2/18.,
1997,"Mitchells Peppertree Shiraz, Clare Valley 1997",C,Drink 7/01,
1999,"Eileen Hardy Shiraz 1999, McLaren Vale",B,Use - 3/15. Use - 2/18.,
2002,"D'Arenberg The Coppermine Road Cabernet Sauvignon 2002, McLaren Vale",B,Can be used - 2/18.,
2002,"Katnook Estate Prodigy Shiraz 2002, Coonawarra",B,Can be used - 3/15. Use - 2/18,
2002,Warner Vineyard Giaconda Shiraz 2002,B,Can be used - 3/15. Use - 2/18,
2008,"Moss Wood Chardonnay 2008, Margaret River",B,Use - 11/17. Use - 2/18.,
2012,"Beginning Chardonnay 2012, The Lane Vineyard, Adelaide Hills",B,Use up - 11/17.,
2013,"Pierro Chardonnay 2013, Margaret River, Western Australia",B,Use - 11/17.,
Californian (Red),,,,
1995,Mondavi Napa Valley Cabernet Sauvignon 1995,B,Drink 7/01.,
1996,"Ridge Zinfandel, Geyserville 1996",B,Keep 7/01. Use - 2/08,
1996,Staglin Cabernet Sauvignon 1996,A,Keep 7/01. Keep or use if needed - 2/08.,
1997,"Newton Vineyard 1997 Merlot, Special Cuvee, Napa Valley",B,Drink 7/01.,
2000,Dominus 2000 Napanook (Christian Moueix),B,Use or keep - 2/11,
2000,Ridge Monte Bello 2000,A,Keep or use - 2/11,
New Zealand,,,,
2002,"Craggy Range Le Sol Syrah 2002, Hawkes Bay",B,Use - 2/18,
2002,"Felton Road Chardonnay 2002, Central Otago",B,Drink up - 7/07,
2004,"Dry River Pinot Noir 2004, Martinborough",B,Use - 2/18,
2006,Fromm Clayvin Vineyard Chardonnay 2006 Marlborough,B,,
2008,"Felton Road Chardonnay 2008, Central Otago",B,Use - 11/17.,
2011,"Dog Point Vineyard Chardonnay 2011, Marlborough",B,Use - 11/17.,
2013,"Dry River Chardonnay 2013, Martinborough",B,Keep or use as needed - 2/17. Use - 2/18.,
Argentina,,,,
2003,"Prodigo Malbec Reserva 2003, Alessandro Speri, Mendoza",B,,
Chile,,,,
2001,Le Dix de Los Vascos 2001 (Domaine Barons de Rothschild) Colchagua,B,,
Reception Wines (Red),,,,
2016,Valpolicella Allegrini 2016,C,,
Port,,,,
1931,"Quinta do Noval, 1931",A1,Drink on very special occasions only.,
1935,Graham 1935,A,Keep but can use for special occasions - 1/82 Use up slowly - 7/02,
1945,Graham 1945,A1,Keep but can use for special occasions - 1/82,
1945,"Quinta do Noval, 1945",A1,Keep but can use for special occasions - 1/82,
1945,Warre 1945,A1,Keep but can use for special occasions - 1/82,
1948,Fonseca 1948,A1,Drink for special occasions - see note 7/99,
1955,Taylor 1955,A1,Keep but can use for special occasions,
1977,Fonseca 1977,A1,Keep - 5/95 (4th review) Drink - 11/00 (5th  review),
1977,Quarles Harris 1977,B,Release in 1998 (4th review). Drink - 7/01 (5th Review),
1977,Taylor 1977,A,Keep - 5/95 (4th review) Keep - 2/00 (5th review). Use or keep - 6/11.,
1977,Warre 1977,A,Drink - 1/98. Drink - 6/05,
1982,Warres Quinta do Cavadinha 1982,A,"Drink as needed - 11/92 Keep - 11/96. Keep - 11/00, review in 2005. Release and drink -10/05",
1983,Dow 1983,B,Drink - 5/97,
1983,Fonseca 1983,B,Keep - 12/90 (1st review).  Release in 1997 (5/95) (2nd review) Drink - 2/01,
1983,Graham 1983,A,Keep - 12/90 (1st review) Keep - 5/95 (2nd review) Keep - 11/00 (3rd review) Use - 12/11 (4th review),
1983,Taylor 1983,A,Drink - 5/95.  Drink - 11/00. Keep using - 5/18.,
1983,Warre 1983,B,Keep - 12/90 (1st review) Keep - 5/95 (2nd review) Keep - 11/00 (3rd review). Can be used - 5/04. Use - 3/14.,
1985,Churchill 1985,B,Keep -11/00. 2nd Review.  Can be used - 12/09,
1985,Cockburn 1985,B,Keep - 2/92 (1st review) Can be drunk - 11/00 (2nd review). Cna be used - 7/15,
1985,Croft 1985,B,Keep - 2/92 (1st review) Not a keeper - 11/00 (2nd review). Can be used - 8/09. Use - 6/16,
1985,Fonseca 1985,A1,Keep - 2/92 (1st review) Keep - 11/00 (2nd Review). Drink - 3/06. Can be drunk - 11/14.,
1985,Graham 1985,B,Keep - - 2/92 (1st review)Keep 11/98(2nd review) Keep - 2/03 (3rd review). Can be used - 3/12 (4th review).,
1985,Taylor 1985,A,Keep - 2/92 (1st revew) Keep - 2/02 (3rd review). Can be used if needed - 2/17.,
1985,Warre 1985,A,"Keep - 2/92 (1st review Keep - 5/98(2nd review) Keep and review in 2005 - 11/00 (3rd review). Keep, no hurry - 3/09. Release - 1/16",
1994,Fonseca 1994,B,Keep - 2/08 [1st review],
1994,Graham 1994,B,"Keep - 3/13. Keep, no rush - 11/17.",
1994,Quarles Harris 1994,B,Can be used - 3/15,
1994,Taylor 1994,B,"Can be used as needed, but no rush - 11/13",
1994,Warre 1994,B,,
1996,Quinta do Vesuvio 1996,B,Use - 2/10,
2000,Croft 2000,B,Keep - no hurry - 5/17.,
2000,Dow's 2000,B,,
2000,Fonseca 2000,A,Keep - 7/14,
2000,Taylor 2000,B,,
Sparkling Wines,,,,
N/A,Nyetimber Demi Sec NV,C,,
2001,Chapel Down Pinot Reserve 2001,B,,
2007,Nyetimber Classic Cuvée 2007,C,,
2008,Breaky Bottom Cuvée Princess Colonna Reserve 2008,C,,
2008,Camel Valley Pinot Noir 2008 Brut,C,,
2009,"Coates & Seely Blanc de Blancs ""La Perfide"" 2009",C,,
2009,Ridgeview Grosvenor 2009 Brut,C,,
2010,Ancre Hill Estates 2010 Blanc de Noirs Brut,C,,
2010,Breaky Bottom Cuvée Koizumi Yakumo 2010,C,,
2010,Camel Valley Pinot Noir Rosé Brut 2010,B,,
2010,Furleigh Estate Sparkling Rosé 2010,C,,
2010,Nyetimber Classic Cuvée 2010,C,,
