Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
1988,"Château Pichon-Longueville Baron 1988, 2me Cru Classé, Pauillac",B,Keep - 5/93 (1st review) Keep - 9/98 (2nd review) Keep - 2/02 (3rd review) Drink - 3/06 (4th review) Keep - 12/09. Use - no hurry - 2/10,
1988,"Château Rauzan-Ségla 1988, 2me Cru Classé, Margaux",B,Keep - 11/00 (3rd review) Keep - 2/02 (4th review). Keep - 6/06. Keep - 12/09,
1988,"Château Troplong Mondot 1988, St Emilion",C,Keep - 9/98 (1st review) Drink - 11/02 (2nd review) Drink or keep - 6/06. Drink - 2/10,
1988,"Vieux Château Certan 1988, Cru Exceptionnel, Pomerol",B,Drink Soon - 9/98,
1989,"Château Angélus 1989, Grand Cru Classé, St Emilion",B,Keep - 2/94 (1st review) Keep -11/98(2nd review) Drink slowly - 2/02. Drink - 10/05. Drink up - 2/10,
1989,"Château Cos d’Estournel 1989, 2me Cru Classé, St Estèphe",A,Keep - 2/94 (1st review) Keep -11/98(2nd review). Keep  - 10/05. Will keep - 2/10,
1989,"Château Haut Brion 1989, 1er Cru Classé, Graves",A1,Keep - 2/94 (1st review) Keep - 11/99 (2nd review) Keep - 2/02 (3rd review) Keep - 10/05. Keep - 10/08. Keep - 2/10.,
1989,"Château Léoville Lascases 1989, 2me Cru Classé, St Julien",A,Keep - 2/94 (1st review)Keep 11/98(2nd review). Keep - 10/05. Keep - 2/10,
1989,"Château Mouton Rothschild 1989, 1er Cru Classé, Pauillac",A1,Keep - 2/94 (1st review) Keep -11/98(2nd review) Keep - 2/02 (3rd review) Keep - 10/05 (4th review). Keep - 10/08. Keep or use as needed - 2/10 (5th review).,
1990,"Château Beychevelle 1990, 4me Cru Classé, St Julien",B,Keep - 11/98 Drink - 2/02,
1990,"Château Brane-Cantenac 1990, 2me Cru Classé, Cantenac-Margaux",B,Keep - 2/95 (1st review) Keep -11/98(2nd review). Drink - 9/05,
1990,"Château Calon-Ségur 1990, 3me Cru Classé, St Estèphe",B,Keep - 2/95 (1st review) Keep-11/98(2nd Review) Drink slowly - 7/02 (3rd review),
1990,"Château Canon 1990,  (Magnums) 1er Grand Cru Classé, St Emilion",B,Keep - 2/95 (1st review) Keep - 7/02 (2nd review),
1990,"Château Canon 1990, 1er Grand Cru Classé, St Emilion",B,Keep - 2/95 (1st review) Keep -11/98(2nd review) Drink - 7/02. Confirmed drink - 9/05,
1990,"Château Cos d’Estournel 1990, 2me Cru Classé, St Estèphe",A,Keep - 2/95 (1st review) Keep -11/98(2nd review) Keep - 7/02. Keep - 9/05. Keep - 6/11,
1990,"Château Grand-Puy-Lacoste 1990, 5me Cru Classé, Pauillac",B,Keep - 2/95.  Keep- 11/98. Keep - 7/02 (3rd review) Keep - 3/05. Use - 6/11,
1990,"Château Lafite Rothschild 1990, 1er Cru Classé, Pauillac",A1,Keep - 2/95 (1st review) Keep - 11/98(2nd review) Keep - 7/02 (3rd review) Keep - 9/05,
1990,"Château Langoa Barton 1990, 3me Cru Classé, St Julien",B,Keep - 2/95 (1st review) Keep - 11/98 (2nd review) Keep - 7/02 (3rd review) Drink (10/06). Can be drunk but no hurry - 12/11.,
1990,"Château Latour 1990, 1er Cru Classé, Pauillac",A1,Keep - 2/95 (1st review) Keep 11/98(2nd review) Keep - 7/02 (3rd review) Keep - 9/05. Keep - 10/16.,
1990,"Château Léoville Barton 1990, 2me Cru Classé, St Julien",A,Keep - 2/95 (1st review) Keep-11/98(2nd Review) Keep - 7/02 Keep - 10/06 (3rd review). Keep - 12/11.,
1990,"Château Léoville Poyferré 1990, 2me Cru Classé, St Julien",A,Keep - 2/95 (1st review) Keep- 11/98(2nd review) Keep - 7/02 (3rd review) Keep - 3/05. Can be used - 6/11,
1990,"Château Lynch Bages 1990, 5me Cru Classé, Pauillac",A,Keep - 2/95 (1st review) Keep -11/98(2nd review) Keep - 7/02 (3rd review) Keep - 9/05 (4th review),
1990,"Château Lynch Bages, (Magnums) 1990, 5me Cru Classé, Pauillac",A,Keep - 2/95 (1st review) Keep -11/98 (2nd review) Release from 2005 - 7/02 (3rd review),
1990,"Château Margaux 1990, 1er Cru Classé, Margaux",A1,Keep - 2/95 (1st review) Keep -11/98 (2nd review) Keep - 7/02. Keep - 9/05 (4th review),
1990,"Château Mouton-Rothschild 1990, 1er Cru Classé, Pauillac",A1,Keep - 2/95 (1st review) Keep 11/98(2nd review) Keep - 7/02 (3rd review) Keep - 9/05,
1990,"Château Pichon-Longueville Baron 1990, 2me Cru Classé, Pauillac",A1,Keep - 2/95 (1st review) Keep - 11/98(2nd review) Keep 7/-2 (3rd review) Keep - 9/05 (4th review). Keep - 3/14,
1990,"Château Pichon-Longueville, Comtesse de Lalande 1990, 2me Cru Classé, Pauillac",A1,Keep - 2/95 (1st review) Keep -11/98(2nd review) Drink from 05 if required - 2/02. Keep - 7/02. Keep - 3/05. Release - 3/14,
1990,Château Sénéjac 1990,B,Release 2000 -11/98. Drink - 7/02. Drink - 9/05,
1990,"Château Talbot 1990, 4me Cru Classé, St Julien",B,Keep - 2/95 (1st review) Keep- 11/98(2nd Review) Drink - 7/02. Confirmed drink - 10/06. Use up - 12/11,
1990,"Château Trotanoy 1990, Grand Cru Classé, Pomerol",A1,Keep - 2/95 (1st review) Keep -11/98(2nd review) Keep - 11/01 (3rd review) Keep -7/02. Keep - 3/14,
1990,Domaine de Chevalier 1990,B,Keep - 2/95 (1st review) Keep -11/98(2nd review) Keep - 2/02 (3rd review) Keep - 7/02. Drink - 9/05,
1993,Château Le Tetre-Rôteboeuf 1993,B,Can be drunk if needed - 2nd review - 7/02. Drink - 9/05.  Drink or sell - 6/11,
1994,"Château d'Angludet 1994, Margaux",C,Drink - 7/02. Drink to 2010 - 9/05. Confirmed drink - 7/08. Will keep - 6/11. Drink up - 3/15,
1994,"Château Grand-Puy-Lacoste 1994, Pauillac",B,Keep and review in 2005 - 7/02. Keep - 9/05. Use - 6/11. Use - 3/15.,
1994,Chateau La Grave à Pomerol (Trigant de Boisset) 1994,C,Drink - 7/02. Drink up - 9/05. Drink - 6/11. Drink up - 3/15,
1994,Château Latour à Pomerol 1994,A,Keep and review in 2005 - 7/02. Keep - 9/05 Keep or release - 7/08. Use - 6/11. Keep - 3/15.,
1994,"Château Léoville Barton, St Julien 1994",B,Keep and review in 2005 - 7/02. Keep - 9/05. Keep - 7/08. Keep - 6/11. Keep - 3/15.,
1994,"Château Lynch-Bages 1994, 5me Cru Classé, Pauillac",B,Keep and review in 2005 - 7/02. Keep and review in 2008 - 9/05. Keep - 7/08. Keep - 6/11. Consider selling - 3/15.,
1994,"Château Magdelaine 1994, 1er Grand Cru, St Emilion",B,Drink or keep till 07 - 9/05. Drink up - 7/08. Drink or keep - 6/11. Keep - 3/15.,
1994,"Château Rauzan-Ségla 1994, 2me Cru Classé, Margaux",B,Keep and review in 2007 - 9/05. Keep - 7/08. Will keep - 6/11. Ready - consider for sale - 3/15.,
1995,"Chateau Brane-Cantenac 1995, 2me Cru, Margaux",B,Keep - 5/03 (1st review). Drink slowly - 10/10. Use - 3/14. Can be used - 2/17,
1995,"Château Clerc Milon 1995, Pauillac",B,Keep - 5/03 (1st review). Keep - 10/10. Keep - 3/14. Keep - 2/17.,
1995,"Château Durfort Vivens 1995, 2me Cru, Margaux",B,Keep - 5/03 (1st review). Keep - 10/10 (3rd review). Keep - 3/14. Use if needed - 2/17.,
1995,"Chateau Grand Mayne 1995, Grand Cru Classé, Saint Emilion",B,Keep - 5/03 (1st review). Drink - 10/07 . Drink - 10/10. Confirmed drink - 3/14. Use - 2/17,
1995,"Château La Dominique 1995, Grand Cru Classé, Saint Emilion",B,"Keep - 5/03 (1st review). Release as needed - 10/07. Drink - 10/10. No rush, keep - 3/14. Use - 2/17.",
1995,Château La Fleur Pétrus 1995,A,Keep - 5/03 (1st review). Keep - 10/10 (3rd review). Keep - 3/14 (4th review). Keep - 2/17.,
1995,"Château La Lagune 1995, 3ème Cru Ludon, Medoc",B,Keep - 5/03 (1st Review). Keep or use - 3/14. Use - 2/17,
1995,"Château Lagrange 1995, 3ème Cru Classé, St Julien",B,Keep - 5/03 (1st review). Drink or keep - 10/10. Use - 3/14. Use - 2/17.,
1995,"Château Langoa Barton 1995, 3me Cru Classé, St Julien",B,Keep - 5/03 (1st review). Keep or sell - 10/10.  Sell - 3/14. Sell - 2/17.,
1995,Château Latour à Pomerol 1995,B,Keep - 5/03 (1st review) . Keep - 10/10. Keep - 3/14,
1995,Château Tour Haut Caussan 1995,C,Drink - 5/03,
1995,"Domaine de Chevalier, 1995 Grand Cru Classé, Graves",B,Keep - 5/03 (1st review). Keep - 10/10. Keep - 3/14,
1996,"Château Batailley 1996, 5ème Cru Pauillac",B,Keep - 5/04 (1st review). Use - 2/11. Can use - 3/14.,
1996,"Château Beaumont 1996, Cru Bourgeois Haut Médoc",C,Drink - 5/04. Drink up - 10/07. Drink - 2/11,
1996,"Château Cheval Blanc 1996, 1er Grand Cru St Emilion",A,Keep / release v slowly - 5/04 (1st review). Keep - 10/07. Keep or sell - 2/11. Keep - 3/14,
1996,"Château Duhart Milon Rothschild 1996, 5ème Cru Classé, Pauillac",B,"Keep - 5/04 (1st review) Use, but no hurry - 2/11. Keep - 3/14",
1996,"Château Gruaud Larose 1996, 2ème Cru Classé, Saint Julien",B,Keep - 5/04 (1st review) Keep - 10/07 (2nd review). Keep - 2/11. Keep - 3/14,
1996,"Château Haut-Brion 1996, Pessac-Léognan",A,Keep - 5/04 (1st review). Keep - 10/07. Keep - 2/11. Keep - 3/14 (4th review).,
1996,"Château La Lagune 1996, 3ème Cru, Haut Médoc",B,Keep - 5/04. Use - 10/07. Use - 2/11. Use - 3/14.,
1996,"Château La Lagune 1996, Magnums, 3ème Cru, Haut Médoc",B,Use - 2/11,
1996,"Château Léoville Poyferré 1996, 5ème Cru, St Julien",B,Keep - 5/04 (1st review). Keep - 2/11 (3rd review). Keep - 3/14.,
1996,"Château Phélan Ségur, Cru Bourgeois, St Estèphe 1996",B,Keep - 5/04. Keep - 10/07. Keep - 2/11. Use - 3/14,
1996,"Château Talbot 1996, 4ème Cru Classé, St Julien",B,Keep - 5/04 (1st review) . Keep - 10/07. Keep - 2/11 (3rd review). Keep - 3/14,
1998,"Château Beauséjour- Duffau-Lagarrosse 1998, 1er Grand Cru Classé, St-Emilion",B,Keep - 7/04. Release - 2/08. Keep - 3/14,
1998,Château Lafite Rothschild 1998,A1,Keep - 7/04 (1st review). Keep - 2/08 [2nd review],
1998,"Château Langoa Barton 1998, 3me Cru Classé, St Julien",B,Keep - 7/04. Keep - 2/08. Keep - 3/14 (3rd review),
1998,"Château Latour 1998 Magnums, 1er Cru Classé, Pauillac",A1,Keep - 2/08,
1998,"Château Latour 1998, 1er Cru Classé, Pauillac",A1,Keep - 7/04. Keep - 2/08 [2nd review],
1998,Château Latour à Pomerol 1998,B,Keep - 7/04. Keep - 2/08 (2nd review). Keep - 3/14.,
1998,"Château Lynch Bages 1998, 5eme Cru Classé, Pauillac",B,Keep - 7/04. Can be released - 2/08. Use - 3/14.,
1998,"Château Margaux 1998, 1er Cru Classé, Margaux",A1,Keep - 7/04. Keep - 2/08 [2nd review],
1998,Château Trotanoy 1998,A1,Keep - 7/04. Keep - 2/08 [2nd review]. Keep - 3/14 (3rd review).,
1998,"Couvent des Jacobins 1998, Grand Cru St Emilion",B,Keep - 1st review 7/04. Release - 2/08. Keep or use - 3/14,
2000,"Château Cambon La Pelouse 2000, Haut Médoc",C,"Use, no hurry - 2/08 [1st review]. Use - 3/13 [2nd review]",
2000,"Château de Fonbel 2000, Grand Cru St Emilion, (Alain Vauthier)",B,Keep or release as needed - 2/08 [1st review].  Use up to 2018 - 3/13 [2nd review],
2000,"Château Feytit-Clinet 2000, Pomerol (Magnums)",B,Can be used - 3/13.,
2000,"Château Gruaud-Larose 2000, 2eme Cru Classé, St Julien",B,Keep - 2/08 [1st review]. Keep and review in 2019 - 10/16.,
2000,"Château Guillot 2000, Pomerol",B,Drink or keep - 2/08 [1st review] Drink or keep - 3/13 [2nd review],
2000,"Château La Fleur Pétrus 2000, Pomerol",A,Keep - 2/08 [1st review]. Keep - 3/13 [2nd review]. Keep and review in 2019 - 10/16.,
2000,"Château Latour à Pomerol 2000, Pomerol",A,Keep - 2/08 [1st review]. Keep - 3/13 [2nd review],
2000,"Château Lynch-Bages 2000, 5ème Cru Classé, Pauillac",A,Keep - 2/08 [1st review]. Keep and review in 2016 - 3/13 [2nd review] Keep and review in 2019 - 10/16.,
2000,"Château Pichon-Longueville Comtesse de Lalande 2000, Pauillac",A,Keep - 2/08 [1st review]. Keep - 3/13 [2nd review]. Keep and review in 2019 - 10/16,
2000,"Château Talbot 2000, 4eme Cru Classé, St Julien",B,Keep and review in 3yrs - 2/08 [1st review]. Keep and review in 2016 - 3/13 [2nd review].,
2001,"Château Haut Brion 2001, 1er Cru Graves",A,Keep - 2/10. Keep - 3/15.,
2001,"Château La Fleur Pétrus 2001, Pomerol",A,No rush - keep or release - 2/10 (1st review). Keep - 11/14.,
2001,"Château La Grave à Pomerol 2001, Pomerol",B,Release - can be used now - 2/10. Use or keep - 3/15,
