Row,Keep,Genus_species,Common_name,Activity_pattern,Main1,Locomotion,mean_Male_Galan,mean_Female_Galan,Superfamily,Order,Family,Genus,Notes
605,0,Nycticebus_coucang,Sunda Slow Loris,Nocturnal,solitary,AR,0.679,0.626,Lorisoidea,Primates,Lorisidae,Nycticebus,
610,0,Otolemur_crassicaudatus,Brown Greater Galago,Nocturnal,solitary,AR,1.19,1.11,Lorisoidea,Primates,Galagidae,Otolemur,
612,0,Otolemur_garnettii,Northern Greater Galago,Nocturnal,solitary,AR,0.794,0.734,Lorisoidea,Primates,Galagidae,Otolemur,
616,0,Pan_paniscus,Bonobo / Gracile(Pygmy) Chimpanzee,Diurnal,FFMM,BOTH,45,33.2,Hominoidea,Primates,Hominidae,Pan,
622,1,Pan_troglodytes,Chimpanzee,Diurnal,FFMM,BOTH,60,47.4,Hominoidea,Primates,Hominidae,Pan,
631,0,Papio_anubis,Olive baboon,Diurnal,FFMM,BOTH,21.1,12.2,Cercopithecoidea,Primates,Cercopithecidae,Papio,
638,0,Papio_cynocephalus,Yellow baboon,Diurnal,FFMM,T,21.8,12.3,Cercopithecoidea,Primates,Cercopithecidae,Papio,
645,0,Papio_hamadryas,Hamadryas baboon,Diurnal,MFF,T,16.9,9.9,Cercopithecoidea,Primates,Cercopithecidae,Papio,
650,0,Papio_papio,Guinea baboon,Diurnal,FFMM,T,23,12,Cercopithecoidea,Primates,Cercopithecidae,Papio,
653,0,Papio_ursinus,Chacma baboon,Diurnal,FFMM,T,29.8,14.8,Cercopithecoidea,Primates,Cercopithecidae,Papio,
662,0,Perodicticus_potto,Western african Potto,Nocturnal,solitary,AR,0.83,0.836,Lorisoidea,Primates,Lorisidae,Perodicticus,
666,0,Phaner_furcifer,Masoala Fork-Marked Lemur,Nocturnal,MF,AR,0.328,0.351,Lemuroidea,Primates,Cheirogaleidae,Phaner,
670,0,Procolobus_badius,Upper Guinea Red Colobus / Red Colobus monkey,Diurnal,FFMM,AR,8.3,8.2,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
676,0,Procolobus_kirkii,Kirk's Red Colobus,Diurnal,FFMM,AR,7,6.8,Cercopithecoidea,Primates,Cercopithecidae,Procolobus,
