Full_Name,Student,Superfamily,Family,Common_name,Genus,Species,Scientific_name,Taxonomy_notes,Body_mass_male_mean,Body_mass_female_mean,Body_Mass_ref,Male_canine_size,Female_canine_size,Canine_Size_ref,Canine_dimorphism,Canine_Dimorphism_Ref,Social_organization,Social_Organization_ref,Detailed_mating_system,Mating_system,Social_System_ref,Mean_group_size,Social_Organization_Ref,Gestation,Life_History_Ref,Multiple_births,Combined_testis_mass,Testis_Mass_ref,Male_testis_size,Female_sexual_swelling,Female_Swelling_ref,Other_sexual_ornamentation,Copulation_calls,Copulation_Calls_ref,Same_sex_sexual_behavior,SSSB_ref,Baculum,Baubellum,Baculum_ref
Callithrix_(Cebuella)_pygmaea,Jadyn,Ceboidea,Callitrichidae,Pygmy Marmoset,Callithrix,pygmaea,Callithrix_pygmaea,,110,122,Isler et al 2008,3.08,2.98,Luepold et al 2019,1.034,Plavcan & Ruff 2008,,Olivier et al 2024,Polyandry,,co-evolve,2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,125,Jones et al. 2009,1,0.33,Luepold et al 2019,,0,inferred,,,,0,inferred (C niveiventris),1,,Hershkoviz (1977) as reported in Spani et al 2021
Cebus_capucinus,Eric,Ceboidea,Cebidae,Colombian White-faced Capuchin,Cebus,capucinus,Cebus_capucinus,,3285.8,2436.5,Isler et al 2008,14.25,9.01,Luepold et al 2019,1.582,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,16.4,Garber et al. 2008,162,Jones et al. 2009,0,,,,0,inferred,,,,1,Coxshall et al 2026,1,1,Pohl (1928) as reported in Spani et al 2021
Cercocebus_torquatus,Illyria,Cercopithecoidea,Cercopithecidae,Red-Capped Mangabey,Cercocebus,torquatus,Cercocebus_torquatus,,9470,5500,Isler et al 2008,23.53,9.53,Luepold et al 2019,0,0,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,26.9,van Schaik et al. 1999,167,Jones et al. 2009,0,,,,1,Street et al 2016,,YES,Maestripieri & Roney 2005,0,Coxshall et al 2026,1,0,Pohl (1928); Harrison and Lewis (1986) as reported in Spani et al 2021
Cercocebus_(torquatus)_atys,German,Cercopithecoidea,Cercopithecidae,Sooty Mangabey,Cercocebus,atys,Cercocebus_atys,,11000,6200,Isler et al 2008,23.53,9.53,inferred (C torquatus),2.46,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,90,Kamilar 2006,165.08,Jones et al. 2009,0,,,,1,Street et al 2016,,YES,Maestripieri & Roney 2005,0,Coxshall et al 2026,1,0,Hill (1958); Harrison and Lewis (1986) as reported in Spani et al 2021
Cercopithecus_mitis,Jadyn,Cercopithecoidea,Cercopithecidae,Blue Monkey,Cercopithecus,mitis,Cercopithecus_mitis,,7590.6,4628,Isler et al 2008,19.47,10.5,Luepold et al 2019,1.97,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,18.6,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,132,Jones et al. 2009,0,3,inferred (C ascanius),,0,Nunn 1999,,,,0,Coxshall et al 2026,1,0,Hill (1966) as reported in Spani et al 2021
Cercopithecus_ascanius,Clarissa,Cercopithecoidea,Cercopithecidae,Red-tailed Monkey/Guenon,Cercopithecus,ascanius,Cercopithecus_ascanius,,4527.6,2901,Isler et al 2008,16.13,10.3,Luepold et al 2019,1.56,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,28.8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,147,Jones et al. 2009,0,3,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,0,Dixson (1987) as reported in Spani et al 2021
Chlorocebus_pygerythrus,German,Cercopithecoidea,Cercopithecidae,Vervet Monkey,Chlorocebus,pygerythrus,Chlorocebus_pygerythrus,,5071.2,3575.8,Isler et al 2008,20.4,12.02,Luepold et al 2019,,,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,,,,,,20.6,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,0,inferred in Spani et al 2021
Colobus_angolensis,Eric,Cercopithecoidea,Cercopithecidae,Black-and-White Angolian Colobus,Colobus,angolensis,Colobus_angolensis,,9680,7570,Isler et al 2008,17.66,9.57,Luepold et al 2019,1.845,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,18.25,Kamilar 2006,,Jones et al. 2009,0,3.447,inferred (C guereza),,0,Nunn 1999,,,,0,Coxshall et al 2026,0,0,Harrison and Lewis (1986) as reported in Spani et al 2021
Colobus_guereza,,Cercopithecoidea,Cercopithecidae,Black-and-White Colobus / Mantled Guereza,Colobus,guereza,Colobus_guereza,,9673,7505.6,Isler et al 2008,20.31,13.49,Luepold et al 2019,1.459,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,12,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,175,Jones et al. 2009,0,3.447,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,0,Dixson (1987); Harrison and Lewis (1986) as reported in Spani et al 2021
Daubentonia_madagascariensis,Clarissa,Lemuroidea,Daubentonidae,Aye-Aye,Daubentonia,madagascariensis,Daubentonia_madagascariensis,,2620,2490,Isler et al 2008,,,,0,0,Solitary,Olivier et al 2024,Spatial Polygyny,Polygyny,co-evolve,1,Kappeler 1997,167,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,1,0,Pocock (1918) as reported in Spani et al 2021
Erythrocebus_patas,Eric,Cercopithecoidea,Cercopithecidae,Patas Monkey,Erythrocebus,patas,Erythrocebus_patas,,12400,6500,Isler et al 2008,26.5,12.43,Luepold et al 2019,2.132,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,28.2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,167,Jones et al. 2009,0,7.2,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,,Pohl (1928) as reported in Spani et al 2021
Eulemur_fulvus,Jadyn,Lemuroidea,Lemuridae,Brown Lemur,Eulemur,rufus,Eulemur_rufus,Changed to E rufus to use with Coxshall et al phylogeny,2250,2333.3,Isler et al 2008,11.87,10.09,Luepold et al 2019,1.176,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,8.9,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,118,Jones et al. 2009,0,20.489,Luepold et al 2019,,0,inferred,,,,0,inferred (E rufus),1,0,inferred in Spani et al 2021
Eulemur_rubriventer,Clarissa,Lemuroidea,Lemuridae,Red-bellied Lemur,Eulemur,rubriventer,Eulemur_rubriventer,,1980,1940,Isler et al 2008,10.49,9.98,Luepold et al 2019,1.051,Plavcan & Ruff 2008,MF,Olivier et al 2024,Monogamy,,co-evolve,3,Ossi and Kamilar 2006,130,Jones et al. 2009,0,1.76,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,1,inferred (other Eulemur)
Gorilla_gorilla,Nick,Hominoidea,Hominidae,Western Lowland Gorilla,Gorilla,gorilla,Gorilla_gorilla,,170400,71500,Isler et al 2008,30.26,17.4,Luepold et al 2019,1.739,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,7.1,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,256,Jones et al. 2009,0,29.6,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,0,Hill and Harrison-Matthews (1949) as reported in Spani et al 2021
Hapalemur_griseus,,Lemuroidea,Lemuridae,Gray Bamboo Lemur,Hapalemur,griseus,Hapalemur_griseus,,748,670,Isler et al 2008,5.94,5.91,Luepold et al 2019,1.005,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Monogamy,,co-evolve,4.4,Kamilar 2006; Nunn & van Schaik 2000,140,Jones et al. 2009,1,2.1,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,1,Beddard (1884) as reported in Spani et al 2021
Homo_sapiens,Eric,Hominoidea,Hominidae,Human,Homo,sapiens,Homo_sapiens,,,,,,,,,,,,,,co-evolve,,,,,0,,,,,,,,,1,Coxshall et al 2026,0,0,Pohl (1928) as reported in Spani et al 2021
Hylobates_agilis,Valkyrie,Hominoidea,Hylobatidae,Agile Gibbon,Hylobates,agilis,Hylobates_agilis,,5880,5820,Isler et al 2008,18.32,15.79,inferred (H lar),0,0,MF,Olivier et al 2024,Monogamy,,co-evolve,0,Nunn & van Schaik 2000,,Jones et al. 2009,0,5.5,inferred (H lar),,0,Nunn 1999,,,,0,Coxshall et al 2026,1,1,Matthews (1946) as reported in Spani et al 2021
Hylobates_lar,Nick,Hominoidea,Hylobatidae,Lar Gibbon,Hylobates,lar,Hylobates_lar,,5809.2,5380.9,Isler et al 2008,18.32,15.79,Luepold et al 2019,1.16,Plavcan & Ruff 2008,MF,Olivier et al 2024,Monogamy,,co-evolve,3.3,van Schaik et al. 1999; Nunn & van Schaik 2000,217,Jones et al. 2009,0,5.5,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,0,Hill (1958) pag 664 as reported in Spani et al 2021
Indri_indri,Nick,Lorisoidea,Lorisidae,Indri,Indri,indri,Indri_indri,,5830,6840,Isler et al 2008,,,,0.996,Plavcan & Ruff 2008,MF,Olivier et al 2024,Monogamy,,co-evolve,3.2,van Schaik et al. 1999; Nunn & van Schaik 2000,136.5,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,1,1,Grandidier (1871) as reported in Spani et al 2021
Lagothrix_lagotricha,Sabine,Ceboidea,Atelidae,Humboldt's Wooly Monkey,Lagothrix,lagotricha,Lagothrix_lagotricha,,7280,7020,Isler et al 2008,14.23,8.04,Luepold et al 2019,1.77,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,33.1,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,223,Jones et al. 2009,0,11.2,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,0,,"inferred (other Lagothrix, perhaps variable though)"
Lemur_catta,Sabine,Lemuroidea,Lemuridae,Ring-Tailed Lemur,Lemur,catta,Lemur_catta,,2210,2210,Isler et al 2008,10.86,9.16,Luepold et al 2019,1.186,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,17,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,135,Jones et al. 2009,0,17.8,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,1,Hill (1953) as reported in Spani et al 2021
Leontopithecus_rosalia,Nick,Ceboidea,Callitrichidae,Golden Lion Tamarin,Leontopithecus,rosalia,Leontopithecus_rosalia,,620,598,Isler et al 2008,,,,0,0,MF,Olivier et al 2024,Monogamy,,co-evolve,5.4,Garber et al. 2008,128,Jones et al. 2009,1,,,,0,inferred,,,,1,Coxshall et al 2026,1,0,Hershkoviz (1977) as reported in Spani et al 2021
Lophocebus_albigena,Clarissa,Cercopithecoidea,Cercopithecidae,Grey-cheeked Mangabey,Lophocebus,albigena,Lophocebus_albigena,,7890,6010,Isler et al 2008,19.14,8.75,Luepold et al 2019,2.187,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,15.8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,181,Jones et al. 2009,0,,,,1,reference,,,,1,Coxshall et al 2026,1,0,Dixson (1987) as reported in Spani et al 2021
