Full_Name,Student,Superfamily,Family,Common_name,Genus,Species,Scientific_name,Taxonomy_notes,Body_mass_male_mean,Body_mass_female_mean,Body_Mass_ref,Male_canine_size,Female_canine_size,Canine_Size_ref,Canine_dimorphism,Canine_Dimorphism_Ref,Social_organization,Social_Organization_ref,Detailed_mating_system,Mating_system,Social_System_ref,Mean_group_size,Social_Organization_Ref,Gestation,Life_History_Ref,Multiple_births,Combined_testis_mass,Testis_Mass_ref,Male_testis_size,Female_sexual_swelling,Female_Swelling_ref,Other_sexual_ornamentation,Copulation_calls,Copulation_Calls_ref,Same_sex_sexual_behavior,SSSB_ref,Baculum,Baubellum,Baculum_ref
Pan_paniscus,German,Hominoidea,Hominidae,Bonobo / Gracile (Pygmy) Chimpanzee,Pan,paniscus,Pan_paniscus,,45000,33200,Isler et al 2008,15.56,11.24,Luepold et al 2019,1.384,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,85.1,Kamilar 2006; van Schaik et al. 1999,232,Jones et al. 2009,0,135.2,Luepold et al 2019,,1,Street et al 2016,,,,1,Coxshall et al 2026,1,0,Izor et al. (1981) as reported in Spani et al 2021
Pan_troglodytes,Illyria,Hominoidea,Hominidae,Chimpanzee,Pan,troglodytes,Pan_troglodytes,,49566.7,40366.7,Isler et al 2008,21.72,15.26,Luepold et al 2019,1.423,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,63.1,Kamilar 2006; van Schaik et al. 1999,229,Jones et al. 2009,0,128.9,Luepold et al 2019,,1,Street et al 2016,,,,1,Coxshall et al 2026,1,0,Gerhardt (1909) as reported in Spani et al 2021
Papio_anubis,Eric,Cercopithecoidea,Cercopithecidae,Olive Baboon,Papio,anubis,Papio_anubis,,23000,13300,Isler et al 2008,35.43,15.95,Luepold et al 2019,2.221,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,57.7,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,178.96,Jones et al. 2009,0,78.42,Luepold et al 2019,,1,Street et al 2016,,YES,Maestripieri & Roney 2005,1,Coxshall et al 2026,1,0,Hill (1958) as reported in Spani et al 2021
Papio_cynocephalus,Sabine,Cercopithecoidea,Cercopithecidae,Yellow Baboon,Papio,cynocephalus,Papio_cynocephalus,,22300,12000,Isler et al 2008,27.39,9.12,Luepold et al 2019,3.003,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,55,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,172.99,Jones et al. 2009,0,52,Luepold et al 2019,,1,Street et al 2016,,YES,Maestripieri & Roney 2005,1,Coxshall et al 2026,1,0,Machida and Giacometti (1967) as reported in Spani et al 2021
Papio_hamadryas,Valkyrie,Cercopithecoidea,Cercopithecidae,Hamadryas Baboon,Papio,hamadryas,Papio_hamadryas,,18000,10300,Isler et al 2008,30.64,11.17,Luepold et al 2019,2.743,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,66.1,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,171,Jones et al. 2009,0,27.1,Luepold et al 2019,,1,Street et al 2016,,YES,Maestripieri & Roney 2005,1,Coxshall et al 2026,1,0,Pohl (1928) as reported in Spani et al 2021
Pithecia_pithecia,Valkyrie,Ceboidea,Pitheciidae,White-faced Saki,Pithecia,pithecia,Pithecia_pithecia,,1940,1580,Isler et al 2008,8.9,7.58,Luepold et al 2019,1.174,Plavcan & Ruff 2008,MF,Olivier et al 2024,Polygynandry,,co-evolve,5.5,"Setz and Gaspar 1997, Gilbert and Setz 2001",158,Jones et al. 2009,0,0.92,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,0,Hill (1960) as reported in Spani et al 2021
Plecturocebus_(Callicebus)_cupreus,Clarissa,Ceboidea,Pitheciidae,Coppery Titi Monkey,Callicebus,cupreus,Plecturocebus_cupreus,,700,600,made up!,4.36,4.04,inferred (P moloch),,,MF,inferred,Monogamy,,inferred,,,,,0,,,,0,inferred,,,,0,Coxshall et al 2026,1,,inferred (other Callicebinae)
Plecturocebus_(Callicebus)_moloch,Eric,Ceboidea,Pitheciidae,Red Titi Monkey,Callicebus,moloch,Plecturocebus_moloch,,1020,956,Smith and Jungers 1997,4.36,4.04,Luepold et al 2019,1.079,Plavcan & Ruff 2008,MF,inferred,Monogamy,,co-evolve,3.3,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,163,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,1,,inferred (other Callicebinae)
Pongo_pygmaeus,Valkyrie,Hominoidea,Hominidae,Western Bornean Orangutan,Pongo,pygmaeus,Pongo_pygmaeus,,80136.9,36947.6,Isler et al 2008,27,15.95,Luepold et al 2019,1.693,Plavcan & Ruff 2008,Solitary,Olivier et al 2024,Spatial Polygyny,Polygyny,co-evolve,2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,249,Jones et al. 2009,0,35.3,Luepold et al 2019,,0,Nunn 1999,,,,1,Coxshall et al 2026,1,1,Gerhardt (1909); Harms (1956) as reported in Spani et al 2021
Presbytis_melalophos,Illyria,Cercopithecoidea,Cercopithecidae,Banded Langur,Presbytis,femoralis,Presbytis_femoralis,Changed to P femoralis to use with Coxshall et al phylogeny,6554.3,6566.6,Isler et al 2008,13.95,8.15,Luepold et al 2019,1.712,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,14.5,Hill & Lee 1998,,Jones et al. 2009,0,,,,0,Nunn 1999,,,,0,inferred (P femorails),1,0,inferred in Spani et al 2021
