NestID,Num,FEDate,EntDate,FoFDate,Fail,Fail Cat,Aban,NeHW,NeCB,NnHW,NnCB,NfHW,NfCB,xLong,yLat,EntAge,FoFAge,NDays,Year,Mo,FEDay,CBP,fYear,CBHatch,SurHat?
KR Gas Well,2,7/13/20,7/21/20,8/5/20,0,No,0,3,0,3,0,3,0,-79.92753,41.78185,8,23,15,2020,7,74,No,y2020,0,1
H-19,1,7/16/20,7/18/20,7/21/20,1,Yes,0,3,0,0,0,0,0,-79.94532,41.78752,2,5,3,2020,7,77,No,y2020,0,0
AA-25,1,7/16/20,8/7/20,8/9/20,0,No,0,3,0,2,0,2,0,-79.93915,41.77957,22,24,2,2020,7,77,No,y2020,0,1
P-14,1,7/20/20,7/21/20,8/12/20,0,No,0,2,0,2,0,2,0,-79.94743,41.78394,1,23,22,2020,7,81,No,y2020,0,1
X-19,2,7/20/20,7/31/20,8/4/20,1,Yes,1,2,0,2,0,0,0,-79.94389,41.78061,11,15,4,2020,7,81,No,y2020,0,1
FF-30,1,7/24/20,7/31/20,8/17/20,0,No,0,3,0,3,0,3,0,-79.9361,41.77756,7,24,17,2020,7,85,No,y2020,0,1
W-21,1,7/25/20,8/6/20,8/17/20,0,No,0,3,0,3,0,3,0,-79.9426,41.78109,12,23,11,2020,7,86,No,y2020,0,1
FF-26,1,7/25/20,7/26/20,8/1/20,1,Yes,0,3,0,0,0,0,0,-79.93845,41.7765,1,7,6,2020,7,86,No,y2020,0,0
H-18,2,7/26/20,7/29/20,8/11/20,1,Yes,0,3,0,2,0,0,0,-79.94593,41.78717,3,16,13,2020,7,87,No,y2020,0,1
K-16,1,7/29/20,8/6/20,8/20/20,0,No,0,3,0,3,0,3,0,-79.94719,41.78587,8,22,14,2020,7,90,No,y2020,0,1
CC-38,1,7/29/20,7/31/20,8/14/20,1,Yes,0,3,0,0,0,0,0,-79.9321,41.77938,2,16,14,2020,7,90,No,y2020,0,0
